,datetime,predict
0,2021-08-10,31500.922
1,2021-08-11,37775.715
2,2021-08-12,40675.79
3,2021-08-13,40238.406
4,2021-08-14,35632.656
5,2021-08-15,29644.818
6,2021-08-16,30405.5
7,2021-08-17,37837.816
8,2021-08-18,38925.848
9,2021-08-19,38925.848
10,2021-08-20,34997.754
11,2021-08-21,38810.586
12,2021-08-22,33101.336
13,2021-08-23,36438.836
14,2021-08-24,38925.848
15,2021-08-25,38925.848
16,2021-08-26,38925.848
17,2021-08-27,38925.848
18,2021-08-28,37388.918
19,2021-08-29,32818.504
20,2021-08-30,33463.434
21,2021-08-31,37313.645
22,2021-09-01,38626.22
23,2021-09-02,37341.234
24,2021-09-03,36439.656
25,2021-09-04,32475.076
26,2021-09-05,24974.145
27,2021-09-06,29523.934
28,2021-09-07,28829.537
29,2021-09-08,28781.2
